Pair,lag,Pearson_r,p_value,n,significant
Exports → Revenue,-6,"-0,1578","0,3307",40,No
Exports → Revenue,-5,"-0,1514","0,3446",41,No
Exports → Revenue,-4,"0,1355","0,3922",42,No
Exports → Revenue,-3,"0,0817","0,6024",43,No
Exports → Revenue,-2,"-0,0765","0,6216",44,No
Exports → Revenue,-1,"0,2464","0,1027",45,No
Exports → Revenue,0,"-0,1631","0,2787",46,No
Exports → Revenue,1,"0,0516","0,7363",45,No
Exports → Revenue,2,"-0,1251","0,4185",44,No
Exports → Revenue,3,"0,2594","0,093",43,No
Exports → Revenue,4,"-0,3828","0,0124",42,Yes
Exports → Revenue,5,"0,3925","0,0111",41,Yes
Exports → Revenue,6,"-0,2243","0,1641",40,No
Imports → Revenue,-6,"-0,1282","0,4304",40,No
Imports → Revenue,-5,"-0,0068","0,9664",41,No
Imports → Revenue,-4,"-0,0184","0,908",42,No
Imports → Revenue,-3,"0,1626","0,2974",43,No
Imports → Revenue,-2,"-0,1332","0,3888",44,No
Imports → Revenue,-1,"0,0769","0,6157",45,No
Imports → Revenue,0,"0,0126","0,9335",46,No
Imports → Revenue,1,"0,1276","0,4037",45,No
Imports → Revenue,2,"-0,1925","0,2106",44,No
Imports → Revenue,3,"0,2965","0,0535",43,No
Imports → Revenue,4,"-0,3337","0,0308",42,Yes
Imports → Revenue,5,"0,3807","0,0141",41,Yes
Imports → Revenue,6,"-0,2677","0,0949",40,No
Exports → Transactions,-6,"-0,0246","0,88",40,No
Exports → Transactions,-5,"-0,2453","0,1221",41,No
Exports → Transactions,-4,"0,1389","0,3803",42,No
Exports → Transactions,-3,"0,1479","0,3438",43,No
Exports → Transactions,-2,"-0,1368","0,3758",44,No
Exports → Transactions,-1,"0,217","0,1522",45,No
Exports → Transactions,0,"-0,109","0,4707",46,No
Exports → Transactions,1,"0,0168","0,913",45,No
Exports → Transactions,2,"-0,1077","0,4865",44,No
Exports → Transactions,3,"0,208","0,1807",43,No
Exports → Transactions,4,"-0,3643","0,0177",42,Yes
Exports → Transactions,5,"0,4108","0,0076",41,Yes
Exports → Transactions,6,"-0,1528","0,3465",40,No
Imports → Transactions,-6,"-0,0246","0,8802",40,No
Imports → Transactions,-5,"-0,0305","0,8498",41,No
Imports → Transactions,-4,"0,0009","0,9954",42,No
Imports → Transactions,-3,"0,1523","0,3297",43,No
Imports → Transactions,-2,"-0,1726","0,2627",44,No
Imports → Transactions,-1,"0,0441","0,7737",45,No
Imports → Transactions,0,"0,113","0,4546",46,No
Imports → Transactions,1,"-0,0641","0,6757",45,No
Imports → Transactions,2,"-0,088","0,5702",44,No
Imports → Transactions,3,"0,2427","0,1168",43,No
Imports → Transactions,4,"-0,3299","0,0329",42,Yes
Imports → Transactions,5,"0,3924","0,0112",41,Yes
Imports → Transactions,6,"-0,1799","0,2666",40,No
