SKU,r_at_lag5,p_at_lag5,n_at_lag5,sig_at_lag5,r_contemporaneous,p_contemporaneous,dominant_lag,max_abs_r
JYR-2004AM,"0,5898","0,001",28,Yes,"0,0731","0,6861",5,"0,5898"
JYG37510,"0,4387","0,0041",41,Yes,"-0,0178","0,9066",5,"0,4387"
XGNRON,"0,4137","0,0623",21,No,"-0,1339","0,5233",6,"0,4592"
XSAE82701,"0,4079","0,0081",41,Yes,"-0,1715","0,26",5,"0,4079"
PIP33-BLK125BPL,"0,4056","0,0611",22,No,"0,1178","0,6017",3,"0,6146"
ME9683M,"0,3806","0,0141",41,Yes,"-0,1292","0,3922",6,"0,4224"
AN37-175T10,"0,3716","0,0216",38,Yes,"-0,3121","0,0565",-1,"0,3889"
UVSVP400,"0,3697","0,0174",41,Yes,"-0,2896","0,051",-1,"0,457"
SPS3960HS,"0,3595","0,0603",28,No,"-0,1949","0,2852",5,"0,3595"
XS3M7502TY,"0,3449","0,0272",41,Yes,"-0,248","0,0966",-1,"0,373"
XESB60R,"0,3387","0,0303",41,Yes,"-0,3447","0,019",-6,"0,4212"
MOM2700,"0,33","0,0351",41,Yes,"-0,1889","0,2087",-1,"0,3565"
SPS700HS,"0,3285","0,0619",33,No,"0,0794","0,6603",3,"0,5593"
XS3M6004TY,"0,3252","0,038",41,Yes,"0,1338","0,3752",4,"0,5017"
ME9683L,"0,3126","0,0466",41,Yes,"-0,2601","0,0844",6,"0,5199"
XS3M6003-TY,"0,3123","0,0468",41,Yes,"-0,219","0,1437",5,"0,3123"
AN23-201T9,"0,3073","0,1641",22,No,"0,1688","0,4526",5,"0,3073"
SRPEC60X90TY,"0,3028","0,0543",41,No,"-0,2305","0,1233",-1,"0,3237"
XAPERC,"0,2993","0,0573",41,No,"0,0198","0,8958",4,"0,5242"
MESX200LH,"0,2919","0,0641",41,No,"-0,1203","0,426",2,"0,3015"
ME6632L,"0,2899","0,1906",22,No,"-0,0531","0,8146",2,"0,441"
PIP42-874,"0,2892","0,0667",41,No,"0,0442","0,7705",4,"0,4382"
SFPUG611VMT,"0,2794","0,0768",41,No,"-0,0808","0,5933",-1,"0,3961"
JYR-1521M,"0,2768","0,0972",37,No,"-0,3378","0,0409",-1,"0,5737"
JYR-2004AZ,"0,2735","0,0835",41,No,"-0,1277","0,3977",-1,"0,4595"
SRESM60V,"0,2536","0,1096",41,No,"0,2175","0,1465",-6,"0,2864"
AN11-250,"0,2429","0,276",22,No,"0,1373","0,5424",3,"0,5512"
3M6200,"0,2408","0,1511",37,No,"0,1243","0,4634",5,"0,2408"
SACFCB02,"0,2339","0,1411",41,No,"-0,0579","0,7058",-2,"0,2665"
SFPUG09VMT,"0,2192","0,1685",41,No,"-0,0463","0,76",4,"0,3243"
3M1292TY,"0,2122","0,1828",41,No,"-0,1192","0,4301",6,"0,3022"
SRCRCL,"0,1901","0,4357",19,No,"0,2018","0,3936",3,"0,4779"
SRMAM,"0,1835","0,2508",41,No,"-0,0457","0,7628",-4,"0,4422"
MRSR-1060NJTL,"0,1634","0,3271",38,No,"-0,3998","0,0129",-2,"0,4467"
ME9683S,"0,1599","0,3181",41,No,"0,1497","0,3206",-3,"0,3253"
ME6632M,"0,1479","0,5007",23,No,"-0,0435","0,8437",3,"0,532"
MESX9667L,"0,1413","0,3783",41,No,"0,0116","0,9392",4,"0,3012"
AE82501,"0,1382","0,4664",30,No,"-0,2045","0,2783",-1,"0,4234"
3M501,"0,135","0,4324",36,No,"0,1274","0,459",3,"0,5012"
SFGG805PFL,"0,1312","0,4388",37,No,"-0,3125","0,0597",-2,"0,6111"
XS3M5N11,"0,1306","0,4219",40,No,"-0,2497","0,0981",1,"0,3276"
3M5N11,"0,1297","0,4509",36,No,"0,0844","0,6247",-6,"0,3506"
SRPM60X90,"0,1244","0,4631",37,No,"-0,4524","0,0049",3,"0,5018"
SFPUG111VMT,"0,112","0,4856",41,No,"-0,0605","0,6896",4,"0,2781"
XAGRPCFCGIS,"0,112","0,4856",41,No,"-0,2014","0,1794",3,"0,3927"
DUNB127SXL,"0,1052","0,5128",41,No,"-0,0725","0,6362",2,"0,2699"
XS3M7093TY,"0,1025","0,5238",41,No,"-0,2877","0,0525",1,"0,3507"
3m6001PR,"0,0848","0,6228",36,No,"0,0539","0,755",3,"0,2535"
XSAE82509TY,"0,0732","0,6494",41,No,"-0,1411","0,3498",4,"0,3421"
CRST1130,"0,0538","0,8075",23,No,"-0,2173","0,3192",3,"0,7018"
MESX9378KCTV,"0,0064","0,9683",41,No,"-0,1877","0,2117",-1,"0,3166"
JYR-2004B,"-0,0025","0,9901",27,No,"0,0578","0,7616",-6,"0,4221"
ME6632XL,"-0,0033","0,988",23,No,"0,0728","0,7415",3,"0,5516"
PMKN95B,"-0,0098","0,9516",41,No,"0,2049","0,1875",6,"0,359"
PIP33-BLK125BPM,"-0,0132","0,9523",23,No,"0,0862","0,6957",1,"0,4122"
XS3M501,"-0,0395","0,814",38,No,"-0,2125","0,1712",-1,"0,26"
PIP33-BLK125BPS,"-0,0418","0,8463",24,No,"0,0751","0,7272",1,"0,4203"
UVSVP401,"-0,0696","0,7466",24,No,"0,0913","0,6713",1,"0,4214"
