SKU,r_at_lag5,p_at_lag5,n_at_lag5,sig_at_lag5,r_contemporaneous,p_contemporaneous,dominant_lag,max_abs_r
JYR-2004AM,"0,5898","0,001",28,Yes,"0,0731","0,6861",5,"0,5898"
JYG37510,"0,4387","0,0041",41,Yes,"-0,0178","0,9066",5,"0,4387"
XSAE82701,"0,4079","0,0081",41,Yes,"-0,1715","0,26",5,"0,4079"
ME9683M,"0,3806","0,0141",41,Yes,"-0,1292","0,3922",6,"0,4224"
AN37-175T10,"0,3716","0,0216",38,Yes,"-0,3121","0,0565",-1,"0,3889"
UVSVP400,"0,3697","0,0174",41,Yes,"-0,2896","0,051",-1,"0,457"
XS3M7502TY,"0,3449","0,0272",41,Yes,"-0,248","0,0966",-1,"0,373"
XESB60R,"0,3387","0,0303",41,Yes,"-0,3447","0,019",-6,"0,4212"
MOM2700,"0,33","0,0351",41,Yes,"-0,1889","0,2087",-1,"0,3565"
XS3M6004TY,"0,3252","0,038",41,Yes,"0,1338","0,3752",4,"0,5017"
ME9683L,"0,3126","0,0466",41,Yes,"-0,2601","0,0844",6,"0,5199"
XS3M6003-TY,"0,3123","0,0468",41,Yes,"-0,219","0,1437",5,"0,3123"
